"","Gene","CcSP_neg.lfc","CcDN_neg.lfc","CcDP_neg.lfc","BeadSP_neg.lfc","BeadDN_neg.lfc","BeadDP_neg.lfc"
"63","PLVAP",-2.2585,-1.7229,-1.2445,-0.29795,-0.52478,-0.70601
"64","PSMD7",-2.43,-2.1675,-2.9671,-0.02642,-0.49271,-0.20058
"65","RGMA",-2.2738,-0.022744,-2.8793,-0.77053,-0.054609,-0.82864
"66","MYBL2",-2.0117,-2.5815,-2.8812,-0.62002,-0.41223,0.36193
"67","RACGAP1",-1.8342,-0.42218,-3.055,-0.29637,-0.30072,-0.11009
"68","RUNX1",-1.4409,-1.0011,-2.3083,-1.2286,-0.81916,-0.29661
"69","CXCL12",1.8343,1.7009,0.5667,0.02658,-0.29008,0.46136
"70","TSPAN33",-1.757,-0.72929,-4.299,-0.08662,-0.65407,0.48637
"71","ATP5IF1",-2.2538,-3.0795,-2.3004,-0.64101,-0.51072,-0.71088
"72","KCNC1",-2.1408,-1.1149,-2.5006,0.15244,0.10718,0.095205
"73","ASXL1",-2.5896,-1.5795,-2.6499,-0.38491,-0.39936,-0.73601
"74","RDX",-2.301,-1.0049,-4.1877,-0.29749,-0.76491,-0.24089
"75","ACE2",-0.31972,-1.4588,-0.9606,-0.035512,0.16848,0.64265
"76","PSMB3",-2.7702,-2.4198,-3.4796,-0.19297,0.17857,-0.2742
"77","ZEB1",-2.3582,-2.1633,-2.2745,0.09962,0.54839,0.13636
"78","CCR6",-1.1958,-0.61756,-3.3791,-0.54335,0.20759,-0.30568
"79","HRAS",-2.6961,-2.4023,-5.0956,0.1463,0.14718,-0.18981
"80","NT_33",-4.778,0.0099138,-0.48069,-0.35151,0.81545,-0.19885
"81","SLC18B1",-0.91197,-2.6053,-1.9379,-0.13733,0.15471,-1.3229
"82","TNFRSF13B",-2.8191,-2.372,-2.6753,0.1408,-0.066083,0.14523
"83","SOCS1",-0.42537,-0.66892,-0.90106,0.0070911,-0.1777,0.29659
"84","GPR35",-2.2767,-2.2107,-4.2337,0.17924,0.087812,-0.35099
"85","FES",-1.7116,-3.1063,0.019665,0.24223,-0.24665,0.2116
"86","HILPDA",-2.0348,-0.14467,-3.0037,-0.1243,0.26928,-0.34525
"87","XBP1",-1.8346,-0.81657,-3.4391,-0.12139,0.36527,0.00099806
"88","MED11",-2.6397,-3.3731,-1.1449,-0.79743,0.010063,0.5528
"89","TMEM102",-2.0445,-2.5339,-4.3589,-0.028711,-0.19976,-0.50515
"90","GATA3",-2.0795,-0.62995,-2.2912,-0.50317,-0.51392,-0.6163
"91","IQCD",-0.75273,-2.5239,-0.97679,-0.40523,-0.064721,0.31656
"92","NE_71",-4.7771,-4.1691,-2.9974,-0.099538,-1.1776,0.1902
"93","GTF3A",-1.7538,-0.76573,1.0884,-0.1089,-0.43673,-0.93964
"94","HMMR",-1.9797,-0.089097,-1.7284,0.47371,0.54707,-0.04809
"95","ANLN",-2.2562,-2.16,-2.855,-0.22378,0.081285,-0.11168
"96","DGCR2",-0.32752,-0.60978,-5.1819,0.23907,0.21678,0.80701
"97","HDAC1",-2.1198,-0.16931,-1.6717,-0.18889,-0.057467,-0.20043
"98","IGSF5",-1.4784,-1.5914,-1.4467,-0.26375,0.12026,-0.14204
"99","STIMATE",1.313,0.73355,3.6057,-0.18667,0.066681,0.18858
"100","UBA52",-0.88461,-0.74237,-1.0506,-0.61542,-0.11442,-0.68431
"101","RARA",-1.6939,-3.545,-1.7525,-0.20791,0.36583,-1.5834
"102","LILRB4",-0.46325,-0.81152,-0.77205,0.10457,0.87693,0.52865
"103","CRELD2",-2.2839,0.95324,-2.175,-0.37007,-0.15974,-0.76673
"104","CPD",-2.2459,-1.6317,-1.6544,-0.66998,-0.34499,0.18126
"105","AFF3",-1.0315,-1.9219,-1.4185,0.34707,-0.0076342,-0.12438
"106","PSMB1",-1.462,-1.0651,-1.7388,-0.24331,-0.31198,-0.48309
"107","CTSV",-1.9941,-0.68426,-2.8304,0.12532,0.28975,-0.31711
"108","SRPX2",-1.3777,-0.51974,-1.5618,0.52607,0.46879,0.16798
"109","LY6K",-0.8773,0.40446,-3.9071,-0.47437,0.03691,0.19906
"110","APP",-0.60228,-0.065319,-1.4278,0.38234,0.092948,-0.094376
"111","ARSA",0.19657,-0.60514,-2.1088,-0.2976,-0.090016,-0.084251
"112","MAP3K5",-0.61477,-1.9739,0.33046,-0.050559,0.058687,0.64193
"113","AXL",-0.78524,0.10811,0.18118,0.028653,0.30761,0.078752
"114","HSPA2",-0.64599,-1.6858,-0.87442,0.22581,-0.066137,-0.45537
"115","ECM1",-1.5797,0.57076,0.24782,-0.0038615,0.35611,-0.22868
"116","STIM1",-1.7797,0.18791,-1.8894,0.13022,-0.17824,-0.45808
"117","SFRP1",-1.6632,-0.55385,-1.6852,-0.16234,-0.15058,-0.024892
"118","MCAM",-1.2529,-0.10576,-3.8396,-0.56578,-0.42485,-0.41966
"119","ATP1B3",-1.5035,-1.5936,-0.88126,-0.42113,-0.6983,-0.12538
"120","PSMD14",-2.1779,-2.277,-1.8676,-0.29519,-0.62861,-0.73578
"121","HERPUD1",-0.65715,-0.96075,-1.3447,-0.35218,0.076111,-0.60342
"122","BIRC5",-2.0915,-0.7163,-3.33,-0.080896,0.24164,-0.88106
"123","TF",-2.2209,-0.83653,-3.7909,-0.46705,-0.65885,-0.73861
"124","HRK",-2.3493,-1.0234,-6.028,-0.23344,-0.77056,-0.37613
"125","EIF4A2",-1.2811,-1.5732,-1.2297,-0.37522,-0.72065,0.35429
"126","LTA",-2.0644,-0.93923,-2.1084,0.28355,0.29445,0.4546
"127","FYB",-2.2206,-1.5139,-2.5522,-1.0294,-0.38545,-0.49319
"128","RPS6KB1",-1.9572,-2.1464,-4.5705,-0.016885,-0.022492,0.10569
"129","TAP2",-0.64813,0.39088,-1.166,-0.071605,0.14746,0.26686
"130","IL13RA1",-1.9005,0.12883,-0.054414,-0.35747,-0.30012,-0.66861
"131","PNPLA6",-0.7654,-0.086551,1.3361,-0.22686,-0.195,-0.3565
"132","SUN2",-2.3334,-1.1925,-1.6632,-1.1359,-0.50018,-0.96402
"133","PLEKHO1",-0.76329,-0.0017165,0.88894,-0.761,-0.35969,-0.15703
"134","STAT2",-0.62538,-1.681,-2.5382,-1.0183,-0.5439,-0.86847
"135","DYX1C1",-2.1945,-2.1312,-2.1275,0.53825,0.98385,0.23632
"136","NAGA",-2.3326,-0.41688,-2.4231,0.26305,-0.072704,-0.4003
"137","C7orf50",-0.47626,0.17568,1.3123,-0.12517,0.30596,0.012549
"138","SEMA4B",-1.1049,-1.4578,-1.2402,-0.89845,-0.31814,-0.55066
"139","SCUBE1",-1.832,-0.53989,-3.4734,-0.2154,0.33364,-0.025544
"140","CST7",-1.5196,-1.4446,-3.6364,0.23885,0.055661,-0.28566
"141","MED12",-1.4597,-2.5452,-2.6077,-0.27541,0.66042,-1.081
"142","PPFIA4",-0.76547,-3.3257,-2.7932,-0.18054,-0.33048,-0.41832
"143","ADGRA2",-1.8546,-1.4123,-4.6197,-0.13995,-0.36955,-0.58238
"144","CACNA2D2",-0.54946,-0.48889,-1.0544,0.53063,-0.033497,0.30386
"145","ANXA4",-1.2362,-0.0947,-2.9634,-0.16042,-0.3235,-0.073448
"146","SLC4A7",-0.49202,0.16492,0.8433,-0.25874,-0.059167,0.39451
"147","FYN",-1.6302,-1.2951,-1.2092,0.36305,0.28298,0.5567
"148","STK4",0.49146,-1.7464,-1.9391,0.4231,0.22984,-0.55775
"149","PSMA3",-1.7472,-2.0145,-2.0861,-0.48981,0.41786,-0.56206
"150","CISH",-1.3638,-0.17962,2.1445,0.068066,0.53959,-0.1723
"151","RAB27A",-0.97992,-1.8395,-1.5266,0.29796,0.42927,0.31809
"152","SPAM1",-0.32215,-0.37899,-1.1022,0.61858,0.15609,0.46322
"153","FTH1",-0.89901,-2.0846,-1.1159,-0.38517,-0.082508,-0.74571
"154","PLTP",-0.70175,-0.54928,0.52593,-0.12019,-0.099897,0.062364
"155","LIPG",-1.2028,-1.1965,-0.35798,-0.04642,-0.31307,0.037774
"156","TAOK3",-1.7785,-0.50251,-2.8511,-0.11031,0.13813,-0.32434
"157","EZH2",-1.5763,-1.3988,-1.6052,-0.74153,-0.68582,0.72739
"158","OR2A4",-0.58349,-0.29535,-0.34084,-0.34815,-0.25731,-0.31632
"159","GREM1",-1.1738,-2.0033,-1.0696,0.054454,0.48673,-0.16816
"160","MAPK3",-0.31465,-0.1621,0.33764,-0.13211,-0.22314,-0.36905
"161","ITGAL",-0.051171,-0.50611,1.8133,-0.59984,-0.75195,-0.39841
"162","TAF7",-1.1569,-0.060835,0.68497,0.24524,0.15442,0.17706
"163","ADAMTS7",-1.7701,-1.3446,-5.3898,0.61088,0.30292,0.72058
"164","CMKLR1",-0.046508,-0.7975,-0.95554,0.15946,0.50128,-0.3049
"165","MAP3K14",-2.0775,-1.3858,-1.0555,-0.19662,-0.43621,0.10731
"166","LTB",-0.65104,0.13266,0.48371,-0.2058,-0.81894,0.11169
"167","STAM2",-0.30333,-0.74714,1.6948,0.63799,-0.42116,-0.25683
"168","MICA",-1.2044,0.65836,-3.1036,-0.12179,-0.032214,-0.2895
"169","GIMAP4",-1.5459,-1.1652,-3.0236,0.12737,-0.029565,0.056679
"170","SUMO4",-1.1863,-1.8658,-0.61243,-0.15577,-0.25751,-0.52328
"171","RUNX3",-1.6638,-1.6997,-2.1596,-0.46809,-0.36767,-0.19719
"172","PDPK1",-0.97812,-2.5485,-1.6821,-0.95254,-0.48321,-0.47436
"173","PSMA6",-1.4444,-2.2222,-6.8266,-1.3172,-0.40098,-0.042135
"174","GGTLC1",-0.35593,-0.24092,-1.4999,0.30166,-0.15918,0.18102
"175","PTGIR",-0.38728,-0.17549,-1.504,-0.77348,0.31244,-0.23656
"176","PTGER2",-0.4241,-2.2713,-1.1627,-0.58085,-0.45955,0.34092
"177","CHEK2",-2.1995,0.072219,-1.5188,-0.1905,0.31339,-0.61842
"178","MDK",0.57345,-1.0866,-0.21376,-0.34152,-0.89944,-0.2826
"179","MPZL1",0.39358,0.53054,-0.50297,-0.05135,-0.18906,-0.39903
"180","NT_94",-3.9545,-1.7164,-5.2432,-0.17509,0.54603,0.19047
"181","GPA33",-1.0007,-0.6185,-0.43764,0.2355,0.4612,-0.47856
"182","EZR",-1.2743,-1.9964,-2.4339,0.29053,0.22559,1.0769
"183","IKBKG",0.3102,-0.3292,0.92426,-0.21162,-0.45428,-1.0405
"184","SLC8B1",-1.664,-1.4377,-2.2694,-0.11498,0.11952,-0.35103
"185","GRB2",-1.3817,-0.41795,-0.99802,-0.79734,-0.3291,-0.78084
"186","NE_84",-4.0349,-4.0919,-2.9205,0.58756,-1.0372,1.4236
"187","IL9R",-0.82627,0.93499,2.348,-0.00073681,-0.1829,0.13761
"188","NOTCH1",-0.33609,1.3269,-2.6558,0.62063,1.1737,0.14001
"189","VHL",-1.4729,-1.5026,-1.5658,-0.84392,-0.1364,-0.076878
"190","OASL",-1.5853,0.094619,0.093186,0.067454,0.016016,-0.015692
"191","KCNA3",-1.6948,-0.7373,0.73912,0.33144,0.20226,0.76445
"192","SIRPG",0.17953,0.50091,0.66509,-0.218,-0.24342,-0.2235
"193","NE_40",-3.7817,-2.3487,-1.4916,-0.41597,0.26925,0.81096
"194","DOCK2",-1.5986,-1.431,-0.4689,-0.35804,0.060589,0.20573
"195","CD8A",-0.14246,-0.30543,-1.6635,-0.23922,0.0584,-0.7782
"196","ADGRV1",0.95539,-0.54098,0.12877,0.21048,0.21698,-0.2923
"197","IL17RA",-1.1669,-1.2008,-0.87467,0.11962,-0.47524,-0.11384
"198","NFATC3",-1.0221,-0.38012,-1.0104,0.2514,0.23289,0.255
"199","SULF2",-0.074317,1.8699,-3.145,-0.33354,-0.088823,-0.55652
"200","FZD10",0.46813,-0.41417,-1.1448,-0.067904,-0.076039,-0.33364
"201","NLGN3",-1.061,-2.4513,-1.5236,0.024817,-0.18018,-0.46686
"202","SUPT3H",-1.4752,-1.5621,0.69229,0.093384,-0.36268,0.051944
"203","TRAF2",-0.056912,-1.8857,0.69724,-0.1991,0.01872,-1.2555
"204","ORAI1",-0.57434,-0.37064,-1.35,0.44297,0.50923,0.14707
"205","SSH1",-0.58934,-0.35012,-0.14597,0.3359,0.42116,0.090446
"206","LIPA",-0.82031,-1.9468,-6.7625,0.25255,0.038706,0.73617
"207","TBL3",-1.9592,-2.8586,-0.59712,-0.95711,-0.60655,-1.1153
"208","PSMD13",-1.23,0.83504,-0.14466,0.398,0.40631,0.34238
"209","UBE2V1",-1.3026,-1.5047,-2.9089,0.13631,-0.3302,-0.46745
"210","CDK6",-0.96108,-2.4549,-4.4071,-0.54636,-0.89214,-0.04589
"211","STAP2",-0.46475,-0.65856,-0.93826,-0.77163,-0.21097,0.33525
"212","PSEN1",-1.4288,0.19261,-1.5091,-0.061586,-0.043378,-0.22759
"213","UCP2",-1.3465,-0.64912,0.94498,-0.59877,-0.12965,0.0074706
"214","FBXO5",0.5516,-1.3663,-1.0118,-0.22839,-0.96211,0.0036613
"215","RAB29",-1.9151,-1.1207,-3.9681,-0.32353,-0.36369,0.52426
"216","MS4A2",-1.4062,-2.1078,-3.3601,0.43263,0.63226,0.089964
"217","SIDT1",-1.7349,0.34887,-3.8165,0.16114,0.50143,-0.13311
"218","HN1",0.106,-0.50361,0.10577,-0.16673,-0.13076,-0.16979
"219","STT3B",-1.1755,-4.1497,-1.8696,-0.81781,-0.2556,-0.26439
"220","C16orf74",-0.98275,-0.54855,-0.29911,-0.56678,-0.35835,-0.52145
"221","NT_57",-3.8301,-2.6784,-1.3778,0.6913,-0.50746,0.96804
"222","MYD88",-1.1942,0.45383,0.61879,-0.70004,-0.58393,-0.42908
"223","TNFRSF11A",-1.3529,-0.51975,-2.3662,-0.4663,-0.66676,-0.39355
"224","MAP3K7",-0.90593,0.031425,1.2991,-0.20087,-0.13933,-0.16966
"225","ACHE",-1.6275,-1.4791,-0.6859,0.039874,-0.28643,-0.90468
"226","IKBKB",-0.23859,-1.1924,0.27167,0.17037,0.50189,0.19032
"227","EPHA5",0.9055,-0.015119,1.429,-0.20046,0.42748,-0.12572
"228","YPEL5",-1.1131,0.05575,0.24932,-0.72693,-0.2094,-0.17555
"229","ITGB5",-1.2028,-1.0337,0.39595,0.14827,0.7623,0.014776
"230","HINFP",-0.35069,0.13543,-0.14827,0.40218,-0.0036302,0.063652
"231","DUSP22",0.57218,-0.016965,-1.2951,0.2827,-0.22702,0.27969
"232","PITPNM1",-1.3122,-0.077168,0.092062,0.074117,-0.077922,0.092378
"233","FN1",-1.2178,-1.6765,-0.80777,-0.57658,-0.3828,-0.48704
"234","TRIM68",0.38025,0.24974,2.8553,0.18792,0.014746,-0.083106
"235","CD276",-0.55182,0.085567,0.62601,0.043646,-0.38002,0.43745
"236","CPM",1.0949,1.0132,3.1031,0.64336,0.66989,0.20233
"237","CD200R1",-0.51264,-0.31644,-3.3709,0.6137,0.46675,0.24398
"238","PCSK6",-1.0033,-2.8573,-1.0713,0.17869,0.26619,0.14909
"239","NE_94",-3.4478,-2.958,-6.902,0.17104,0.0058024,1.0777
"240","PFN1",0.3739,0.70366,1.5066,0.17575,-0.74755,-0.38617
"241","GZMB",-1.4254,0.13105,-0.24148,-0.13817,0.061603,-0.28909
"242","LRRC32",-1.6328,-3.0774,-4.0965,0.053437,-0.12137,-0.16643
"243","SRSF2",-1.1227,-0.74042,-4.9192,-0.4514,-0.5826,-1.3773
"244","H2AFX",0.189,1.4121,1.0074,-0.02509,0.0085249,0.46555
"245","CD1B",-1.2138,-0.7871,-4.0413,0.10733,-0.191,0.58528
"246","CYP2W1",0.37581,0.8449,-0.81799,-0.83714,-0.99473,-1.0397
"247","SPRING1",-1.6571,-1.2217,-3.2764,-0.26292,0.12659,0.17246
"248","AQP4",-0.69111,-0.671,-1.1816,-0.40181,-0.059588,0.02727
"249","NT_40",-3.3432,-0.60617,-7.0101,-0.3975,-0.59042,-0.91598
"250","NGFR",-1.4231,0.64728,-0.21954,-0.056569,-0.13547,-0.56302
"251","ANXA6",-1.0524,0.57107,-2.7498,0.20051,0.2536,-0.70599
"252","GPR75",-1.0127,-0.18696,-3.676,-0.28966,-0.16606,0.78765
"253","NT_86",-3.4144,-4.5486,1.2693,-0.0066745,0.54082,0.78354
"254","STRC",-0.82255,-1.5991,-3.5737,-0.29528,-0.055559,-0.4583
"255","CD40",-1.4821,-1.4012,-1.2311,0.013303,0.12543,-0.38441
"256","MT1F",-1.144,-2.6318,-1.5393,0.24718,0.47384,-0.056319
"257","CCDC80",-1.051,-0.58618,0.20878,0.0055201,-0.57232,0.33962
"258","BLNK",-0.42969,0.20798,0.83985,0.24129,0.10069,0.36631
"259","PIEZO1",-1.4648,-0.6154,-1.2878,0.070643,0.26251,0.1114
"260","CAMK2D",-1.1339,-1.0925,-1.9498,0.048657,0.4667,-0.31853
"261","C1QBP",-0.93639,-0.71921,-0.090953,-0.29034,-0.16614,-0.24631
"262","EPPIN",-1.1402,-2.2367,-0.75191,0.21864,0.29892,0.31926
"263","CD82",-0.26789,-2.812,-2.142,0.1287,0.035803,0.49887
"264","NE_76",-3.2089,-1.6072,-3.6968,0.19216,-0.35139,1.2861
"265","AIMP1",-0.99224,-1.186,-0.34564,-0.121,0.38608,-1.0568
"266","DPP7",-1.2372,-0.92289,-3.7468,-0.079177,-0.097488,-0.53839
"267","SETD2",-0.29145,1.1196,-1.8506,0.084149,0.11956,-0.47724
"268","C10orf95",-1.6247,-1.7929,-1.5313,-0.56453,-0.15849,-0.45323
"269","PCYOX1",-1.0944,0.25821,-0.96442,-0.026003,-0.15219,0.53689
"270","B3GNT4",-0.49519,-3.2873,-0.48572,0.092607,0.082107,0.28546
"271","NE_64",-3.2121,-2.1619,-3.5297,0.38786,-0.73869,1.007
"272","TLR9",-1.0242,-2.1655,-1.2926,0.20845,-0.18866,0.53787
"273","PKN1",-1.5517,-0.79757,-0.6498,0.56651,0.085462,0.36511
"274","CDC25B",-0.87774,-0.83116,0.48847,0.11176,0.42466,-0.53389
"275","IL1RL1",-1.4136,-2.8876,-0.44974,0.092794,0.38068,0.57976
"276","CUBN",-0.8541,0.25468,0.25143,-0.5565,-0.10368,-0.11638
"277","IL17RE",-0.0072357,-0.73907,-0.93513,-0.059041,-0.34522,-0.12188
"278","RAB11FIP4",-1.6422,-1.7924,-4.1913,-0.3616,-0.7101,-0.42322
"279","CDH5",-0.30268,-0.048412,-1.5218,0.0090472,0.20648,-0.0038521
"280","PTRH2",-1.2783,-0.56792,-0.4157,-0.24135,0.016243,-0.047333
"281","TOR1A",-1.0881,-1.5316,-0.009251,0.2828,-0.22727,-0.26594
"282","CCL17",-0.41775,-1.5186,-1.9616,-0.19654,-0.4386,-0.66647
"283","SPA17",-1.1106,-0.081282,-1.0603,0.54883,0.6004,-0.020343
"284","SLC19A1",-1.1021,-1.2669,-2.1109,-0.10131,0.070873,-0.39713
"285","CX3CR1",-1.2654,-1.7677,3.6627,0.10368,-0.29278,-0.24514
"286","WIPF1",-1.3602,-0.37624,-2.1006,0.50231,0.2034,-0.26821
"287","LMAN2L",-1.1714,-0.63824,-0.17616,-0.053021,0.079281,-0.21266
"288","NDUFA9",-1.2434,-1.9397,-2.3816,0.30221,-0.32961,-0.20976
"289","CCNH",-1.1762,-2.7097,-2.3177,-0.40835,0.41216,0.098861
"290","SUMF1",0.041235,1.1358,1.4034,0.20826,-0.12489,0.24114
"291","LRFN1",-1.3607,-1.9965,1.7573,0.16508,-0.14133,0.015391
"292","LRPAP1",-0.14751,0.94041,-1.4071,-0.5797,-0.47506,-0.36809
"293","TMX3",-1.1328,-1.9152,-1.5047,0.0027972,0.26816,0.20563
"294","NT_62",-2.9867,-1.9655,-7.0547,0.29928,0.094566,0.13661
"295","SLC3A2",-1.0004,-1.8565,-3.0772,-0.76276,-0.51182,-0.079342
"296","SELM",-0.64056,-0.40464,-2.6727,0.129,0.044238,0.30263
"297","SPON1",-1.3413,0.061627,-5.1138,-0.078682,-0.095596,0.35984
"298","C20orf160",-1.3345,-1.0338,-4.1111,-0.29754,-0.015298,0.27717
"299","PLEKHG3",-0.19788,-0.015797,-2.589,0.043098,0.33867,0.35881
"300","PTK7",-1.0007,-2.3113,0.96367,-0.20034,-0.58845,-0.032983
"301","FGF8",-0.69567,-0.098946,-2.7872,-0.19967,0.16798,-0.45112
"302","CYSLTR1",-0.79662,-1.7183,0.2262,0.42363,0.30843,0.44526
"303","PLBD2",-1.0038,-0.40516,0.26001,-0.2312,0.45415,0.22745
"304","PRF1",-0.10333,-0.17482,1.6155,-0.27691,0.023569,0.15646
"305","SOS1",-1.2576,-1.2925,-1.8833,-0.4416,-0.461,-0.17257
"306","TNFRSF1A",-0.18465,-0.25631,-1.7019,-0.92883,-0.13523,-0.42968
"307","CDCP1",-0.69548,-2.5182,-0.88683,-0.016979,0.15282,-0.056474
"308","DCBLD1",-0.98341,0.70056,1.311,-0.013584,-0.21335,0.59576
"309","ANTXR2",-1.0104,-0.104,0.82151,-0.13053,0.17903,-0.15487
"310","DCK",-0.69477,-0.64585,-4.1279,0.3462,0.16393,0.6901
"311","CXCR2",-1.3308,-0.91035,-2.254,0.012845,-0.063371,-0.26904
"312","HERC6",-0.24877,-1.385,0.077229,0.40753,0.092809,0.061781
"313","SEL1L3",-0.87842,0.14069,-0.1693,0.31141,0.095246,0.16146
"314","BAG1",-1.5503,-1.4104,0.23266,-0.6798,-0.44565,-1.5312
"315","TSPAN14",-0.9639,0.10171,-0.069145,-0.26722,-0.24133,-0.53008
"316","SLC6A3",-0.3489,-0.64717,-0.14892,-0.12697,-0.12115,-0.16463
"317","SKIL",-1.4849,-0.49629,-4.1722,0.33231,0.35139,0.4145
"318","ITGA2",-0.32314,1.4347,-1.5234,0.17093,-0.30152,0.4879
"319","CD70",0.17919,-0.21449,0.037043,-0.34635,-0.14997,-0.27492
"320","NFAM1",-1.0662,-0.51794,-1.4629,-0.38795,-0.13264,-0.38236
"321","CCDC69",1.1481,1.6667,2.5921,-0.80017,0.14058,0.13603
